time,lat,lon,depth,NO3_darwin_clim
2,13.75,178.75,5,2.1367235
2,13.75,179.25,5,2.1386607
2,13.75,179.75,5,2.1404252
2,14.25,176.75,5,2.0575495
2,14.25,177.25,5,2.0610483
2,14.25,177.75,5,2.064234
2,14.25,178.25,5,2.0671005
2,14.25,178.75,5,2.06958
2,14.25,179.25,5,2.0716681
2,14.25,179.75,5,2.073524
2,14.75,176.75,5,1.9960362
2,14.75,177.25,5,1.9995769
2,14.75,177.75,5,2.0028477
2,14.75,178.25,5,2.0058484
2,14.75,178.75,5,2.0084574
2,14.75,179.25,5,2.0106745
2,14.75,179.75,5,2.0126872
2,15.25,176.75,5,1.9368917
2,15.25,177.25,5,1.9403017
2,15.25,177.75,5,1.9435371
2,15.25,178.25,5,1.9465953
2,15.25,178.75,5,1.9492948
2,15.25,179.25,5,1.9516336
2,15.25,179.75,5,1.953824
2,15.75,176.75,5,1.8967413
2,15.75,177.25,5,1.8993472
2,15.75,177.75,5,1.9019789
2,15.75,178.25,5,1.9046412
2,15.75,178.75,5,1.9070971
2,15.75,179.25,5,1.9093516
2,15.75,179.75,5,1.9114646
2,16.25,176.75,5,1.8608916
2,16.25,177.25,5,1.8625383
2,16.25,177.75,5,1.8644423
2,16.25,178.25,5,1.8666033
2,16.25,178.75,5,1.868744
2,16.25,179.25,5,1.8708647
2,16.25,179.75,5,1.8728456
2,16.75,176.75,5,1.8478289
2,16.75,177.25,5,1.8479102
2,16.75,177.75,5,1.8483354
2,16.75,178.25,5,1.8491048
2,16.75,178.75,5,1.8500588
2,16.75,179.25,5,1.8511977
2,16.75,179.75,5,1.8524035
2,17.25,176.75,5,1.8377852
2,17.25,177.25,5,1.8362215
2,17.25,177.75,5,1.8350705
2,17.25,178.25,5,1.8343309
2,17.25,178.75,5,1.8339846
2,17.25,179.25,5,1.8340302
2,17.25,179.75,5,1.8343726
2,17.75,176.75,5,1.8440969
2,17.75,177.25,5,1.8415014
2,17.75,177.75,5,1.8392736
2,17.75,178.25,5,1.8374134
2,17.75,178.75,5,1.8359344
2,17.75,179.25,5,1.8348365
2,17.75,179.75,5,1.8341508
2,18.25,176.75,5,1.8514991
2,18.25,177.25,5,1.8479304
2,18.25,177.75,5,1.844681
2,18.25,178.25,5,1.8417507
2,18.25,178.75,5,1.8391814
2,18.25,179.25,5,1.836973
2,18.25,179.75,5,1.8352851
2,18.75,176.75,5,1.8673352
2,18.75,177.25,5,1.8634661
2,18.75,177.75,5,1.8598831
2,18.75,178.25,5,1.8565862
2,18.75,178.75,5,1.8536388
2,18.75,179.25,5,1.8510407
2,18.75,179.75,5,1.8490152
2,19.25,176.75,5,1.8843255
2,19.25,177.25,5,1.8802352
2,19.25,177.75,5,1.8763748
2,19.25,178.25,5,1.8727455
2,19.25,178.75,5,1.8694481
2,19.25,179.25,5,1.8664837
2,19.25,179.75,5,1.8641404
2,19.75,176.75,5,1.9083289
2,19.75,177.25,5,1.904492
2,19.75,177.75,5,1.9006948
2,19.75,178.25,5,1.8969337
2,19.75,178.75,5,1.8934569
2,19.75,179.25,5,1.8902609
2,19.75,179.75,5,1.8877177
2,20.25,176.75,5,1.9353217
2,20.25,177.25,5,1.9317695
2,20.25,177.75,5,1.928054
2,20.25,178.25,5,1.9241724
2,20.25,178.75,5,1.9205254
2,20.25,179.25,5,1.91711
2,20.25,179.75,5,1.9143881
2,20.75,176.75,5,1.9713423
2,20.75,177.25,5,1.9681649
2,20.75,177.75,5,1.9645904
2,20.75,178.25,5,1.9606189
2,20.75,178.75,5,1.9568318
2,20.75,179.25,5,1.9532293
2,20.75,179.75,5,1.9503956
2,21.25,176.75,5,2.013821
2,21.25,177.25,5,2.0107853
2,21.25,177.75,5,2.007176
2,21.25,178.25,5,2.0029843
2,21.25,178.75,5,1.9989823
2,21.25,179.25,5,1.9951615
2,21.25,179.75,5,1.9922532
2,21.75,176.75,5,2.0673754
2,21.75,177.25,5,2.06409
2,21.75,177.75,5,2.0601346
2,21.75,178.25,5,2.055509
2,21.75,178.75,5,2.0511541
2,21.75,179.25,5,2.0470703
2,21.75,179.75,5,2.0441425
2,22.25,176.75,5,2.132404
2,22.25,177.25,5,2.128527
2,22.25,177.75,5,2.123966
2,22.25,178.25,5,2.1187222
2,22.25,178.75,5,2.113805
2,22.25,179.25,5,2.1092155
2,22.25,179.75,5,2.105954
2,22.75,176.75,5,2.2089484
2,22.75,177.25,5,2.204136
2,22.75,177.75,5,2.1987069
2,22.75,178.25,5,2.1926615
2,22.75,178.75,5,2.1869702
2,22.75,179.25,5,2.181633
2,22.75,179.75,5,2.1777194
2,-22.75,-179.75,5,3.1992443
2,-22.75,-179.25,5,3.1992729
2,-22.75,-178.75,5,3.1986315
2,-22.75,-178.25,5,3.197507
2,-22.75,-177.75,5,3.1958995
2,-22.75,-177.25,5,3.194383
2,-22.75,-176.75,5,3.1929574
2,-22.75,-176.25,5,3.1920145
2,-22.75,-175.75,5,3.1915538
2,-22.75,-175.25,5,3.1914546
2,-22.75,-174.75,5,3.1917167
2,-22.75,-174.25,5,3.1931279
2,-22.75,-173.75,5,3.1956758
2,-22.75,-173.25,5,3.1996207
2,-22.75,-172.75,5,3.2049668
2,-22.75,-172.25,5,3.2103114
2,-22.75,-171.75,5,3.2156682
2,-22.75,-171.25,5,3.2199163
2,-22.75,-170.75,5,3.2230556
2,-22.75,-170.25,5,3.2251058
2,-22.75,-169.75,5,3.2260664
2,-22.75,-169.25,5,3.2265828
2,-22.75,-168.75,5,3.226655
2,-22.75,-168.25,5,3.2267678
2,-22.75,-167.75,5,3.2269213
2,-22.75,-167.25,5,3.2267332
2,-22.75,-166.75,5,3.226203
2,-22.75,-166.25,5,3.2251065
2,-22.75,-165.75,5,3.2234437
2,-22.75,-165.25,5,3.2215252
2,-22.75,-164.75,5,3.2193508
2,-22.75,-164.25,5,3.2168608
2,-22.75,-163.75,5,3.2140546
2,-22.75,-163.25,5,3.2108984
2,-22.75,-162.75,5,3.2073917
2,-22.75,-162.25,5,3.2039068
2,-22.75,-161.75,5,3.2004433
2,-22.75,-161.25,5,3.1974614
2,-22.75,-160.75,5,3.1949613
2,-22.75,-160.25,5,3.193215
2,-22.75,-159.75,5,3.1922226
2,-22.75,-159.25,5,3.1912174
2,-22.75,-158.75,5,3.190199
2,-22.75,-158.25,5,3.1893914
2,-22.75,-157.75,5,3.188795
2,-22.75,-157.25,5,3.1893542
2,-22.25,-179.75,5,3.2176235
2,-22.25,-179.25,5,3.2186546
2,-22.25,-178.75,5,3.218974
2,-22.25,-178.25,5,3.218697
2,-22.25,-177.75,5,3.2178242
2,-22.25,-177.25,5,3.2170124
2,-22.25,-176.75,5,3.2162626
2,-22.25,-176.25,5,3.215897
2,-22.25,-175.75,5,3.2159169
2,-22.25,-175.25,5,3.216347
2,-22.25,-174.75,5,3.2171876
2,-22.25,-174.25,5,3.2191327
2,-22.25,-173.75,5,3.2221823
2,-22.25,-173.25,5,3.2264807
2,-22.25,-172.75,5,3.2320285
2,-22.25,-172.25,5,3.2375593
2,-22.25,-171.75,5,3.2430727
2,-22.25,-171.25,5,3.2474818
2,-22.25,-170.75,5,3.2507868
2,-22.25,-170.25,5,3.2529697
2,-22.25,-169.75,5,3.254031
2,-22.25,-169.25,5,3.2545764
2,-22.25,-168.75,5,3.2546062
2,-22.25,-168.25,5,3.2545867
2,-22.25,-167.75,5,3.2545185
2,-22.25,-167.25,5,3.2540443
2,-22.25,-166.75,5,3.2531645
2,-22.25,-166.25,5,3.2517645
2,-22.25,-165.75,5,3.249844
2,-22.25,-165.25,5,3.2477515
2,-22.25,-164.75,5,3.2454865
2,-22.25,-164.25,5,3.2430007
2,-22.25,-163.75,5,3.2402914
2,-22.25,-163.25,5,3.2373598
2,-22.25,-162.75,5,3.2342026
2,-22.25,-162.25,5,3.2310448
2,-22.25,-161.75,5,3.2278829
2,-22.25,-161.25,5,3.2252219
2,-22.25,-160.75,5,3.2230577
2,-22.25,-160.25,5,3.2217748
2,-22.25,-159.75,5,3.2213683
2,-22.25,-159.25,5,3.221156
2,-22.25,-158.75,5,3.2211318
2,-22.25,-158.25,5,3.2215705
2,-22.25,-157.75,5,3.222467
2,-22.25,-157.25,5,3.2246
2,-21.75,-179.75,5,3.2341585
2,-21.75,-179.25,5,3.2363415
2,-21.75,-178.75,5,3.2379076
2,-21.75,-178.25,5,3.238758
2,-21.75,-177.75,5,3.2388926
2,-21.75,-177.25,5,3.239044
2,-21.75,-176.75,5,3.239212
2,-21.75,-176.25,5,3.2396715
2,-21.75,-175.75,5,3.2404225
2,-21.75,-175.25,5,3.241559
2,-21.75,-174.75,5,3.2430816
2,-21.75,-174.25,5,3.2455637
2,-21.75,-173.75,5,3.2490053
2,-21.75,-173.25,5,3.2534227
2,-21.75,-172.75,5,3.258816
2,-21.75,-172.25,5,3.264137
